date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,14,8,0.0,8.7,4,68,09:18 PM,09:26 AM,06:59 AM,04:56 PM,0,11,12,11,14,11,44,0.0,1023,14,10,51,9,Torrance
2013-01-02,16,9,0.0,8.7,4,60,10:17 PM,09:58 AM,06:59 AM,04:57 PM,3,15,15,15,14,0,45,0.0,1020,16,10,147,9,Torrance
2013-01-03,17,11,0.0,8.7,4,53,11:17 PM,10:31 AM,06:59 AM,04:58 PM,5,16,17,16,15,0,45,0.0,1020,17,10,139,10,Torrance
2013-01-04,16,10,0.0,8.7,4,46,No moonrise,11:06 AM,06:59 AM,04:58 PM,3,16,16,16,10,1,42,0.0,1023,16,10,152,8,Torrance
2013-01-05,15,9,0.0,8.7,4,38,12:19 AM,11:43 AM,06:59 AM,04:59 PM,2,14,14,14,11,11,46,0.0,1023,15,10,196,8,Torrance
2013-01-06,13,8,0.0,8.7,4,31,01:24 AM,12:25 PM,06:59 AM,05:00 PM,7,10,11,10,13,23,73,0.3,1020,13,10,228,9,Torrance
2013-01-07,17,8,0.0,8.7,4,24,02:30 AM,01:13 PM,06:59 AM,05:01 PM,3,12,13,12,28,4,51,0.5,1018,17,10,252,17,Torrance
2013-01-08,18,12,0.0,8.7,4,17,03:38 AM,02:07 PM,06:59 AM,05:02 PM,6,17,18,17,12,1,49,0.0,1019,18,10,130,8,Torrance
2013-01-09,16,11,0.0,5.5,4,9,04:42 AM,03:09 PM,06:59 AM,05:03 PM,7,14,14,14,9,54,65,0.0,1018,16,10,229,6,Torrance
2013-01-10,13,8,0.0,8.7,4,2,05:43 AM,04:16 PM,06:59 AM,05:04 PM,4,9,11,9,31,11,64,0.3,1016,13,10,285,21,Torrance
2013-01-11,11,6,0.0,8.7,3,0,06:37 AM,05:25 PM,06:59 AM,05:04 PM,-2,6,9,6,26,4,48,0.0,1021,11,10,331,17,Torrance
2013-01-12,11,5,0.0,8.7,3,0,07:26 AM,06:34 PM,06:59 AM,05:05 PM,-1,8,10,8,19,4,47,0.0,1020,11,10,106,13,Torrance
2013-01-13,11,6,0.0,8.7,3,5,08:08 AM,07:41 PM,06:59 AM,05:06 PM,-3,7,9,7,20,10,42,0.0,1020,11,10,133,14,Torrance
2013-01-14,12,4,0.0,8.7,3,12,08:46 AM,08:45 PM,06:58 AM,05:07 PM,-8,6,9,6,25,6,31,0.0,1026,12,10,67,16,Torrance
2013-01-15,13,6,0.0,8.7,3,20,09:21 AM,09:47 PM,06:58 AM,05:08 PM,-3,11,12,11,14,1,35,0.0,1030,13,10,175,11,Torrance
2013-01-16,17,9,0.0,8.7,4,27,09:55 AM,10:46 PM,06:58 AM,05:09 PM,4,14,15,14,18,0,47,0.0,1026,17,10,219,12,Torrance
2013-01-17,20,11,0.0,8.7,5,34,10:28 AM,11:43 PM,06:58 AM,05:10 PM,6,18,18,18,21,0,47,0.0,1021,20,10,153,12,Torrance
2013-01-18,20,13,0.0,8.7,5,41,11:02 AM,No moonset,06:57 AM,05:11 PM,7,19,19,19,17,0,44,0.0,1021,20,10,108,11,Torrance
2013-01-19,20,12,0.0,8.7,5,49,11:38 AM,12:39 AM,06:57 AM,05:12 PM,5,19,19,19,18,0,41,0.0,1021,20,10,110,11,Torrance
2013-01-20,20,12,0.0,8.7,5,56,12:16 PM,01:34 AM,06:57 AM,05:13 PM,4,19,19,19,20,0,37,0.0,1020,20,10,145,12,Torrance
2013-01-21,21,13,0.0,8.7,5,63,12:58 PM,02:27 AM,06:56 AM,05:14 PM,5,20,20,20,16,0,38,0.0,1018,21,10,146,9,Torrance
2013-01-22,21,14,0.0,8.7,5,70,01:44 PM,03:19 AM,06:56 AM,05:15 PM,4,19,19,19,13,6,39,0.0,1018,21,10,129,8,Torrance
2013-01-23,20,14,0.0,8.7,5,78,02:32 PM,04:08 AM,06:55 AM,05:16 PM,4,17,17,17,21,53,43,0.1,1018,20,10,116,11,Torrance
2013-01-24,16,13,0.0,5.6,3,85,03:25 PM,04:54 AM,06:55 AM,05:17 PM,11,14,14,14,17,72,83,3.1,1020,16,9,85,11,Torrance
2013-01-25,16,14,0.0,4.0,3,92,04:19 PM,05:37 AM,06:54 AM,05:18 PM,12,15,15,15,17,80,80,5.7,1018,16,9,162,9,Torrance
2013-01-26,17,12,0.0,8.7,4,100,05:16 PM,06:16 AM,06:54 AM,05:19 PM,12,15,15,15,9,55,85,2.6,1013,17,9,198,6,Torrance
2013-01-27,13,10,0.0,7.1,4,100,06:14 PM,06:53 AM,06:53 AM,05:20 PM,9,12,13,12,14,41,81,1.2,1016,13,8,277,10,Torrance
2013-01-28,13,7,0.0,8.7,4,86,07:12 PM,07:28 AM,06:52 AM,05:21 PM,0,8,11,8,32,13,50,0.1,1020,13,10,334,21,Torrance
2013-01-29,13,8,0.0,8.7,4,79,08:11 PM,08:01 AM,06:52 AM,05:22 PM,4,12,12,12,10,4,59,0.0,1023,13,10,152,8,Torrance
2013-01-30,16,9,0.0,8.7,4,71,09:12 PM,08:34 AM,06:51 AM,05:23 PM,8,16,16,16,9,0,61,0.0,1025,16,10,168,7,Torrance
2013-01-31,20,11,0.0,8.7,4,68,10:13 PM,09:09 AM,06:50 AM,05:24 PM,8,18,18,18,15,0,52,0.0,1022,20,10,205,10,Torrance
2013-02-01,20,12,0.0,8.7,5,51,11:16 PM,09:45 AM,06:50 AM,05:25 PM,7,18,18,18,11,21,49,0.0,1021,20,10,207,7,Torrance
2013-02-02,20,14,0.0,8.7,5,44,No moonrise,10:24 AM,06:49 AM,05:26 PM,7,17,17,17,20,59,52,0.0,1022,20,10,157,10,Torrance
2013-02-03,19,14,0.0,8.7,5,36,12:20 AM,11:09 AM,06:48 AM,05:27 PM,9,17,17,17,18,19,61,0.0,1019,19,10,205,10,Torrance
2013-02-04,16,10,0.0,8.7,4,29,01:25 AM,11:59 AM,06:47 AM,05:28 PM,10,17,17,17,8,0,65,0.0,1017,16,10,138,7,Torrance
2013-02-05,13,9,0.0,7.2,4,21,02:28 AM,12:55 PM,06:47 AM,05:29 PM,11,12,13,12,7,34,87,0.2,1017,13,10,187,6,Torrance
2013-02-06,14,9,0.0,8.7,4,14,03:29 AM,01:57 PM,06:46 AM,05:30 PM,11,14,14,14,8,7,81,0.2,1018,14,9,211,6,Torrance
2013-02-07,14,8,0.0,8.7,4,6,04:24 AM,03:03 PM,06:45 AM,05:31 PM,10,13,14,13,11,6,75,0.0,1018,14,10,225,8,Torrance
2013-02-08,11,8,0.0,8.7,3,0,05:14 AM,04:11 PM,06:44 AM,05:32 PM,4,7,10,7,28,23,69,2.6,1014,11,10,286,19,Torrance
2013-02-09,12,6,0.0,8.7,3,0,05:59 AM,05:19 PM,06:43 AM,05:33 PM,6,11,12,11,9,1,66,0.0,1017,12,10,130,8,Torrance
2013-02-10,12,7,0.0,7.2,3,0,06:39 AM,06:24 PM,06:42 AM,05:34 PM,7,11,11,11,12,25,73,0.0,1018,12,10,136,9,Torrance
2013-02-11,14,7,0.0,8.7,4,1,07:16 AM,07:28 PM,06:41 AM,05:34 PM,5,12,12,12,11,5,62,0.3,1021,14,10,165,9,Torrance
2013-02-12,14,8,0.0,8.7,4,9,07:51 AM,08:29 PM,06:40 AM,05:35 PM,3,14,14,14,12,0,48,0.0,1025,14,10,206,10,Torrance
2013-02-13,16,9,0.0,8.7,4,16,08:25 AM,09:29 PM,06:39 AM,05:36 PM,6,15,16,15,9,0,54,0.0,1023,16,10,240,8,Torrance
2013-02-14,17,10,0.0,8.7,4,24,09:00 AM,10:27 PM,06:38 AM,05:37 PM,9,17,17,17,10,0,59,0.0,1021,17,10,214,8,Torrance
2013-02-15,22,14,0.0,7.2,5,31,09:36 AM,11:24 PM,06:37 AM,05:38 PM,7,19,19,19,20,33,46,0.0,1022,22,10,68,11,Torrance
2013-02-16,22,14,0.0,8.7,5,39,10:13 AM,No moonset,06:36 AM,05:39 PM,5,19,19,19,19,14,42,0.0,1019,22,10,170,11,Torrance
2013-02-17,16,11,0.0,8.7,4,46,10:54 AM,12:18 AM,06:35 AM,05:40 PM,10,15,16,15,12,7,71,0.0,1015,16,10,159,9,Torrance
2013-02-18,14,9,0.0,8.7,4,54,11:39 AM,01:11 AM,06:34 AM,05:41 PM,9,11,12,11,13,34,83,0.2,1016,14,9,152,10,Torrance
2013-02-19,12,9,0.0,5.7,3,62,12:25 PM,02:01 AM,06:33 AM,05:42 PM,7,9,11,9,19,49,78,0.3,1012,12,10,191,14,Torrance
2013-02-20,13,6,0.0,8.7,3,69,01:17 PM,02:48 AM,06:32 AM,05:43 PM,2,7,10,7,38,2,60,0.8,1011,13,10,304,25,Torrance
2013-02-21,13,8,0.0,8.7,4,77,02:10 PM,03:32 AM,06:31 AM,05:44 PM,4,10,12,10,17,7,58,0.0,1017,13,10,155,12,Torrance
2013-02-22,15,9,0.0,8.7,4,84,03:06 PM,04:12 AM,06:30 AM,05:44 PM,5,14,14,14,12,5,55,0.0,1021,15,10,158,9,Torrance
2013-02-23,15,9,0.0,8.7,4,92,04:03 PM,04:51 AM,06:28 AM,05:45 PM,8,15,15,15,8,0,60,0.0,1018,15,10,173,7,Torrance
2013-02-24,16,9,0.0,8.7,4,99,05:02 PM,05:27 AM,06:27 AM,05:46 PM,2,13,14,13,23,3,45,0.0,1020,16,10,136,15,Torrance
2013-02-25,16,9,0.0,8.7,4,100,06:02 PM,06:01 AM,06:26 AM,05:47 PM,3,14,15,14,13,5,46,0.0,1021,16,10,159,11,Torrance
2013-02-26,17,8,0.0,8.7,4,86,07:03 PM,06:35 AM,06:25 AM,05:48 PM,4,14,15,14,14,4,51,0.0,1018,17,10,139,9,Torrance
2013-02-27,19,12,0.0,8.7,4,78,08:05 PM,07:10 AM,06:24 AM,05:49 PM,5,18,18,18,18,0,44,0.0,1023,19,10,138,11,Torrance
2013-02-28,21,13,0.0,8.7,5,71,09:08 PM,07:47 AM,06:22 AM,05:50 PM,4,19,19,19,19,0,38,0.0,1026,21,10,128,11,Torrance
2013-03-01,23,15,0.0,8.7,5,68,10:13 PM,08:25 AM,06:21 AM,05:50 PM,5,21,21,21,21,0,35,0.0,1024,23,10,128,11,Torrance
2013-03-02,23,14,0.0,8.7,5,61,11:18 PM,09:09 AM,06:20 AM,05:51 PM,7,20,20,20,17,12,44,0.0,1021,23,10,159,9,Torrance
2013-03-03,16,12,0.0,8.7,4,53,No moonrise,09:57 AM,06:19 AM,05:52 PM,9,14,14,14,11,22,72,0.0,1017,16,10,233,8,Torrance
2013-03-04,15,11,0.0,8.7,4,46,12:21 AM,10:50 AM,06:18 AM,05:53 PM,12,14,15,14,9,8,83,0.1,1018,15,10,184,7,Torrance
2013-03-05,15,10,0.0,8.7,4,39,01:21 AM,11:49 AM,06:16 AM,05:54 PM,10,12,13,12,11,33,83,0.1,1018,15,10,266,8,Torrance
2013-03-06,14,10,0.0,8.7,4,32,02:17 AM,12:52 PM,06:15 AM,05:54 PM,8,12,12,12,11,40,77,0.0,1019,14,10,250,8,Torrance
2013-03-07,14,10,0.0,8.7,4,24,03:08 AM,01:57 PM,06:14 AM,05:55 PM,8,12,12,12,10,55,75,0.3,1015,14,10,160,8,Torrance
2013-03-08,12,10,0.0,8.7,4,17,03:53 AM,03:03 PM,06:12 AM,05:56 PM,7,10,12,10,18,33,73,5.0,1013,12,10,252,13,Torrance
2013-03-09,15,9,0.0,8.7,4,10,04:34 AM,04:07 PM,06:11 AM,05:57 PM,8,13,14,13,17,5,67,0.1,1020,15,10,259,12,Torrance
2013-03-10,18,10,0.0,8.7,4,3,05:12 AM,05:11 PM,06:10 AM,05:58 PM,7,16,16,16,13,0,54,0.0,1024,18,10,196,10,Torrance
2013-03-11,19,12,0.0,8.7,4,0,05:47 AM,06:13 PM,06:09 AM,05:58 PM,7,18,18,18,9,0,50,0.0,1020,19,10,154,8,Torrance
2013-03-12,20,11,0.0,8.7,4,0,06:22 AM,07:13 PM,06:07 AM,05:59 PM,10,18,18,18,10,4,60,0.0,1018,20,10,232,6,Torrance
2013-03-13,22,14,0.0,11.6,5,5,06:56 AM,08:12 PM,06:06 AM,06:00 PM,13,21,21,21,11,0,60,0.0,1019,22,10,243,8,Torrance
2013-03-14,22,13,0.0,11.6,5,12,07:32 AM,09:10 PM,06:05 AM,06:01 PM,13,20,21,20,16,2,65,0.0,1018,22,10,212,10,Torrance
2013-03-15,18,11,0.0,11.6,4,19,08:10 AM,10:06 PM,06:03 AM,06:01 PM,9,15,15,15,11,24,70,0.0,1016,18,10,194,7,Torrance
2013-03-16,16,10,0.0,11.6,4,26,08:50 AM,11:00 PM,06:02 AM,06:02 PM,10,14,15,14,10,10,76,0.1,1014,16,10,180,8,Torrance
2013-03-17,16,10,0.0,11.6,4,34,09:33 AM,11:52 PM,06:01 AM,06:03 PM,10,15,15,15,9,10,74,0.0,1015,16,10,190,7,Torrance
2013-03-18,16,10,0.0,12.5,4,41,10:19 AM,No moonset,05:59 AM,06:04 PM,11,13,14,13,12,26,84,0.1,1017,16,9,199,9,Torrance
2013-03-19,16,10,0.0,12.5,4,48,11:08 AM,12:40 AM,05:58 AM,06:04 PM,11,13,14,13,9,35,87,0.1,1019,16,8,207,7,Torrance
2013-03-20,17,11,0.0,12.5,4,55,12:00 PM,01:25 AM,05:57 AM,06:05 PM,11,15,15,15,11,14,75,0.0,1017,17,10,207,8,Torrance
2013-03-21,18,12,0.0,12.5,4,63,12:54 PM,02:07 AM,05:55 AM,06:06 PM,10,16,16,16,9,14,68,0.0,1012,18,10,168,8,Torrance
2013-03-22,18,11,0.0,12.5,4,70,01:50 PM,02:46 AM,05:54 AM,06:07 PM,10,16,16,16,13,0,64,0.0,1012,18,10,153,11,Torrance
2013-03-23,17,10,0.0,12.5,4,77,02:48 PM,03:23 AM,05:53 AM,06:07 PM,7,15,15,15,12,9,59,0.0,1015,17,10,154,10,Torrance
2013-03-24,19,10,0.0,12.6,4,85,03:47 PM,03:58 AM,05:51 AM,06:08 PM,10,16,16,16,10,3,66,0.0,1015,19,10,172,8,Torrance
2013-03-25,18,11,0.0,9.2,3,92,04:47 PM,04:32 AM,05:50 AM,06:09 PM,10,15,15,15,11,43,70,0.0,1013,18,10,185,8,Torrance
2013-03-26,16,10,0.0,12.6,4,99,05:50 PM,05:07 AM,05:49 AM,06:10 PM,11,14,14,14,10,26,83,0.0,1014,16,10,213,7,Torrance
2013-03-27,16,11,0.0,12.6,4,100,06:55 PM,05:44 AM,05:47 AM,06:10 PM,11,14,14,14,9,41,85,0.1,1015,16,9,191,8,Torrance
2013-03-28,17,11,0.0,12.7,4,86,08:01 PM,06:22 AM,05:46 AM,06:11 PM,11,14,14,14,11,52,84,0.4,1017,17,9,178,8,Torrance
2013-03-29,18,10,0.0,12.7,4,79,09:07 PM,07:06 AM,05:45 AM,06:12 PM,10,14,15,14,9,22,75,0.0,1018,18,10,209,7,Torrance
2013-03-30,17,11,0.0,12.7,4,72,10:13 PM,07:53 AM,05:43 AM,06:13 PM,10,14,14,14,10,19,75,0.0,1018,17,10,244,8,Torrance
2013-03-31,17,12,0.0,10.6,3,68,11:16 PM,08:46 AM,05:42 AM,06:13 PM,11,14,14,14,12,55,81,0.0,1019,17,10,220,9,Torrance
2013-04-01,16,12,0.0,12.7,4,52,No moonrise,09:45 AM,05:41 AM,06:14 PM,11,13,14,13,19,35,85,0.0,1020,16,10,273,15,Torrance
2013-04-02,17,11,0.0,12.8,4,44,12:13 AM,10:46 AM,05:39 AM,06:15 PM,12,15,16,15,11,7,81,0.0,1018,17,10,267,9,Torrance
2013-04-03,19,12,0.0,12.8,4,37,01:05 AM,11:51 AM,05:38 AM,06:16 PM,11,16,16,16,11,19,72,0.1,1018,19,10,184,9,Torrance
2013-04-04,18,11,0.0,12.8,4,29,01:51 AM,12:55 PM,05:37 AM,06:16 PM,10,14,14,14,14,37,75,0.0,1018,18,10,251,11,Torrance
2013-04-05,18,13,0.0,12.8,4,22,02:32 AM,01:58 PM,05:35 AM,06:17 PM,13,16,16,16,11,8,81,0.0,1018,18,9,206,9,Torrance
2013-04-06,18,12,0.0,12.8,4,14,03:11 AM,03:00 PM,05:34 AM,06:18 PM,13,17,17,17,10,4,76,0.0,1017,18,10,172,9,Torrance
2013-04-07,19,12,0.0,12.9,4,7,03:46 AM,04:01 PM,05:33 AM,06:19 PM,12,17,17,17,9,13,71,0.0,1013,19,10,159,8,Torrance
2013-04-08,17,13,0.0,12.9,4,0,04:20 AM,05:01 PM,05:31 AM,06:19 PM,8,14,15,14,33,3,63,0.0,1008,17,10,287,24,Torrance
2013-04-09,20,12,0.0,12.9,5,0,04:55 AM,06:00 PM,05:30 AM,06:20 PM,6,17,17,17,27,0,48,0.0,1013,20,10,276,18,Torrance
2013-04-10,22,12,0.0,12.9,5,0,05:30 AM,06:58 PM,05:29 AM,06:21 PM,8,19,20,19,19,0,48,0.0,1017,22,10,206,13,Torrance
2013-04-11,19,12,0.0,12.9,4,1,06:06 AM,07:55 PM,05:28 AM,06:22 PM,11,17,17,17,12,8,69,0.0,1012,19,10,158,10,Torrance
2013-04-12,18,11,0.0,13.0,4,8,06:45 AM,08:50 PM,05:26 AM,06:22 PM,12,14,14,14,13,28,86,0.1,1010,18,9,195,10,Torrance
2013-04-13,16,11,0.0,13.0,4,16,07:28 AM,09:43 PM,05:25 AM,06:23 PM,11,14,14,14,9,34,84,0.1,1011,16,9,175,8,Torrance
2013-04-14,16,12,0.0,9.4,3,23,08:12 AM,10:32 PM,05:24 AM,06:24 PM,12,13,14,13,12,79,86,0.5,1010,16,9,171,9,Torrance
2013-04-15,15,12,0.0,12.0,3,31,09:01 AM,11:19 PM,05:22 AM,06:25 PM,11,13,13,13,14,59,85,0.6,1011,15,9,232,11,Torrance
2013-04-16,17,10,0.0,13.0,4,38,09:51 AM,No moonset,05:21 AM,06:25 PM,6,13,14,13,24,8,59,0.1,1014,17,10,297,18,Torrance
2013-04-17,19,11,0.0,13.1,4,46,10:44 AM,12:02 AM,05:20 AM,06:26 PM,2,15,16,15,30,0,39,0.0,1019,19,10,275,19,Torrance
2013-04-18,21,14,0.0,13.1,5,54,11:39 AM,12:41 AM,05:19 AM,06:27 PM,4,18,18,18,27,0,39,0.0,1021,21,10,170,16,Torrance
2013-04-19,23,14,0.0,13.1,5,61,12:34 PM,01:19 AM,05:18 AM,06:28 PM,7,21,21,21,17,0,41,0.0,1019,23,10,199,11,Torrance
2013-04-20,22,13,0.0,13.1,5,69,01:32 PM,01:54 AM,05:16 AM,06:28 PM,11,20,21,20,12,0,58,0.0,1014,22,10,193,10,Torrance
2013-04-21,20,13,0.0,13.1,5,76,02:30 PM,02:27 AM,05:15 AM,06:29 PM,14,19,20,19,10,3,71,0.0,1015,20,10,157,9,Torrance
2013-04-22,17,11,0.0,13.2,4,84,03:32 PM,03:02 AM,05:14 AM,06:30 PM,12,14,14,14,10,25,85,0.1,1014,17,8,162,8,Torrance
2013-04-23,19,12,0.0,13.2,4,91,04:35 PM,03:37 AM,05:13 AM,06:31 PM,12,15,16,15,12,30,82,0.4,1013,19,8,184,10,Torrance
2013-04-24,16,12,0.0,12.0,4,99,05:41 PM,04:15 AM,05:12 AM,06:32 PM,12,15,15,15,10,62,83,0.4,1013,16,8,185,8,Torrance
2013-04-25,18,13,0.0,13.2,4,100,06:49 PM,04:57 AM,05:11 AM,06:32 PM,12,17,16,17,10,12,76,0.0,1017,18,10,218,8,Torrance
2013-04-26,19,12,0.0,13.2,5,86,07:57 PM,05:44 AM,05:10 AM,06:33 PM,14,18,19,18,11,1,78,0.0,1020,19,10,225,9,Torrance
2013-04-27,19,12,0.0,13.3,5,79,09:03 PM,06:36 AM,05:08 AM,06:34 PM,14,18,18,18,12,0,78,0.0,1019,19,10,221,10,Torrance
2013-04-28,19,12,0.0,13.3,4,71,10:05 PM,07:35 AM,05:07 AM,06:35 PM,14,18,18,18,11,1,78,0.1,1014,19,10,194,9,Torrance
2013-04-29,19,11,0.0,13.3,4,63,11:01 PM,08:37 AM,05:06 AM,06:35 PM,14,16,16,16,11,8,84,0.1,1011,19,10,166,9,Torrance
2013-04-30,17,12,0.0,9.6,4,56,11:50 PM,09:43 AM,05:05 AM,06:36 PM,13,15,15,15,13,71,88,0.3,1010,17,8,149,10,Torrance
2013-05-01,21,14,0.0,13.3,5,54,No moonrise,10:48 AM,05:04 AM,06:37 PM,14,18,19,18,11,23,78,0.2,1015,21,9,185,9,Torrance
2013-05-02,25,13,0.0,13.4,5,47,12:33 AM,11:52 AM,05:03 AM,06:38 PM,10,22,23,22,16,1,47,0.2,1019,25,10,251,10,Torrance
2013-05-03,26,17,0.0,13.4,6,39,01:12 AM,12:55 PM,05:02 AM,06:39 PM,9,24,24,24,18,1,39,0.0,1013,26,10,190,11,Torrance
2013-05-04,18,14,0.0,13.3,5,32,01:48 AM,01:55 PM,05:01 AM,06:39 PM,12,17,17,17,17,29,75,0.0,1008,18,10,157,14,Torrance
2013-05-05,16,14,0.0,8.4,4,25,02:22 AM,02:55 PM,05:00 AM,06:40 PM,12,15,15,15,22,81,84,1.4,1012,16,8,152,16,Torrance
2013-05-06,17,14,0.0,12.2,4,17,02:56 AM,03:53 PM,04:59 AM,06:41 PM,13,15,16,15,15,66,82,3.7,1014,17,10,181,11,Torrance
2013-05-07,18,14,0.0,13.8,5,10,03:30 AM,04:50 PM,04:58 AM,06:42 PM,12,16,16,16,13,32,74,1.2,1016,18,10,218,10,Torrance
2013-05-08,18,14,0.0,13.8,5,3,04:05 AM,05:47 PM,04:58 AM,06:42 PM,12,16,16,16,16,29,76,0.0,1018,18,10,266,12,Torrance
2013-05-09,19,13,0.0,13.9,5,0,04:43 AM,06:42 PM,04:57 AM,06:43 PM,13,16,16,16,11,21,82,0.0,1018,19,10,230,9,Torrance
2013-05-10,20,13,0.0,13.9,5,0,05:24 AM,07:36 PM,04:56 AM,06:44 PM,14,18,18,18,13,8,81,0.1,1018,20,10,200,10,Torrance
2013-05-11,23,13,0.0,13.9,5,4,06:08 AM,08:27 PM,04:55 AM,06:45 PM,16,21,21,21,13,1,73,0.1,1017,23,10,184,10,Torrance
2013-05-12,25,16,0.0,13.9,6,11,06:55 AM,09:15 PM,04:54 AM,06:45 PM,15,24,25,24,16,0,58,0.0,1016,25,10,220,10,Torrance
2013-05-13,27,20,0.0,13.9,6,19,07:45 AM,09:59 PM,04:53 AM,06:46 PM,15,27,27,26,21,0,51,0.0,1014,27,10,243,12,Torrance
2013-05-14,20,15,0.0,13.9,5,26,08:36 AM,10:39 PM,04:53 AM,06:47 PM,14,20,21,20,16,0,66,0.0,1014,20,10,250,12,Torrance
2013-05-15,18,14,0.0,14.0,5,33,09:30 AM,11:17 PM,04:52 AM,06:48 PM,14,16,17,16,12,25,84,0.1,1015,18,10,178,10,Torrance
2013-05-16,19,14,0.0,11.0,5,40,10:24 AM,11:52 PM,04:51 AM,06:48 PM,14,16,16,16,11,64,87,0.1,1014,19,9,191,9,Torrance
2013-05-17,19,15,0.0,14.0,5,48,11:20 AM,No moonset,04:51 AM,06:49 PM,14,17,17,17,11,26,81,0.1,1014,19,10,206,9,Torrance
2013-05-18,19,14,0.0,14.0,5,55,12:17 PM,12:25 AM,04:50 AM,06:50 PM,14,18,19,18,10,7,78,0.1,1016,19,10,188,9,Torrance
2013-05-19,20,13,0.0,14.0,5,62,01:15 PM,12:58 AM,04:49 AM,06:51 PM,14,19,20,19,11,0,73,0.1,1014,20,10,170,10,Torrance
2013-05-20,22,13,0.0,14.0,5,70,02:16 PM,01:32 AM,04:49 AM,06:51 PM,15,20,21,20,11,1,73,0.0,1013,22,10,184,9,Torrance
2013-05-21,20,14,0.0,14.0,5,77,03:20 PM,02:08 AM,04:48 AM,06:52 PM,15,17,18,17,11,22,84,0.1,1012,20,10,193,9,Torrance
2013-05-22,19,15,0.0,14.1,5,84,04:25 PM,02:47 AM,04:47 AM,06:53 PM,14,18,18,18,12,22,80,0.2,1010,19,10,199,10,Torrance
2013-05-23,18,14,0.0,13.4,5,91,05:34 PM,03:31 AM,04:47 AM,06:54 PM,13,17,17,17,13,20,74,0.1,1012,18,10,209,11,Torrance
2013-05-24,18,13,0.0,14.1,5,99,06:42 PM,04:20 AM,04:46 AM,06:54 PM,14,18,19,18,11,4,77,0.0,1014,18,10,217,9,Torrance
2013-05-25,18,13,0.0,13.4,5,100,07:48 PM,05:17 AM,04:46 AM,06:55 PM,13,17,16,17,11,22,81,0.0,1015,18,10,212,9,Torrance
2013-05-26,18,14,0.0,14.1,5,87,08:49 PM,06:19 AM,04:46 AM,06:56 PM,14,17,17,17,10,16,81,0.0,1016,18,10,201,9,Torrance
2013-05-27,20,14,0.0,13.4,5,80,09:43 PM,07:26 AM,04:45 AM,06:56 PM,14,18,18,18,10,21,79,0.1,1014,20,10,195,9,Torrance
2013-05-28,22,15,0.0,14.1,5,72,10:30 PM,08:34 AM,04:45 AM,06:57 PM,14,20,21,20,13,2,69,0.0,1010,22,10,193,11,Torrance
2013-05-29,23,15,0.0,14.1,5,65,11:12 PM,09:42 AM,04:44 AM,06:58 PM,15,21,22,21,14,0,67,0.0,1009,23,10,175,11,Torrance
2013-05-30,21,15,0.0,14.1,5,58,11:49 PM,10:46 AM,04:44 AM,06:58 PM,16,21,22,21,11,2,77,0.1,1010,21,10,166,9,Torrance
2013-05-31,22,14,0.0,14.2,5,54,No moonrise,11:49 AM,04:44 AM,06:59 PM,16,20,21,20,11,1,79,0.2,1012,22,10,184,9,Torrance
2013-06-01,21,14,0.0,14.2,5,37,12:24 AM,12:49 PM,04:43 AM,06:59 PM,15,19,19,19,11,19,78,0.1,1010,21,9,191,9,Torrance
2013-06-02,19,16,0.0,14.5,5,30,12:58 AM,01:48 PM,04:43 AM,07:00 PM,15,18,18,18,13,25,85,0.2,1008,19,8,156,10,Torrance
2013-06-03,20,15,0.0,14.5,5,22,01:32 AM,02:45 PM,04:43 AM,07:01 PM,15,18,18,18,12,30,82,0.3,1010,20,8,163,10,Torrance
2013-06-04,20,14,0.0,14.5,5,15,02:07 AM,03:42 PM,04:43 AM,07:01 PM,14,17,17,17,13,27,83,0.1,1013,20,9,204,11,Torrance
2013-06-05,19,14,0.0,13.4,5,7,02:43 AM,04:37 PM,04:42 AM,07:02 PM,14,16,16,16,14,37,85,0.3,1014,19,8,261,11,Torrance
2013-06-06,19,14,0.0,14.5,5,0,03:23 AM,05:31 PM,04:42 AM,07:02 PM,14,17,17,17,12,26,84,0.2,1013,19,9,258,10,Torrance
2013-06-07,19,13,0.0,14.5,5,0,04:05 AM,06:23 PM,04:42 AM,07:03 PM,14,17,17,17,9,14,84,0.2,1010,19,9,216,7,Torrance
2013-06-08,19,14,0.0,14.5,5,0,04:51 AM,07:12 PM,04:42 AM,07:03 PM,14,17,17,17,11,13,82,0.1,1010,19,10,167,9,Torrance
2013-06-09,19,14,0.0,14.5,5,0,05:40 AM,07:57 PM,04:42 AM,07:04 PM,14,18,18,18,9,8,78,0.2,1012,19,10,175,8,Torrance
2013-06-10,20,14,0.0,14.5,5,8,06:31 AM,08:38 PM,04:42 AM,07:04 PM,15,18,19,18,11,11,80,0.1,1013,20,10,206,9,Torrance
2013-06-11,21,15,0.0,14.5,5,15,07:24 AM,09:17 PM,04:42 AM,07:04 PM,14,18,19,18,12,28,78,0.0,1013,21,10,235,10,Torrance
2013-06-12,19,14,0.0,14.5,5,23,08:18 AM,09:53 PM,04:42 AM,07:05 PM,14,18,18,18,9,8,80,0.1,1015,19,10,228,8,Torrance
